term,count
covid19 cases,803
global pandemic,573
pandemic news,510
coronavirus covid19,506
new covid19,479
covid19 pandemic,353
24 hours,343
last 24,329
news coronavirus,328
positive cases,275
died covid19,259
covid19 positive,253
positive covid19,235
covid19 coronavirus,219
covid19 vaccine,217
total number,209
americans died,204
new cases,199
worldwide abo,191
deaths worldwide,191
deaths reported,181
due covid19,170
spread covid19,137
covid19 covid,132
read cdc,129
number cases,127
death toll,123
covid19 covid19,119
coronavirus cases,118
tested positive,118
covid19 tally,115
covid19 patients,109
hours total,107
cases amp,107
cases reported,105
tests positive,104
active cases,103
read more,103
covid19 deaths,103
covid19 crisis,97
cases last,94
recovery rate,93
covid coronavirus,93
cases covid19,90
singleday spike,88
samples tested,88
india last,87
amid covid19,82
number covid19,81
covid19 testing,80
today total,76
covid19 tests,75
coronavirus trump,74
fight covid19,73
taking total,73
live updates,72
slow spread,71
august 2020,71
coronavirus pandemic,70
wear mask,67
cdc coronavirus,66
total covid19,66
trump biden,64
reported india,63
impact covid19,62
help slow,61
single day,61
identify risk,60
sooner selfreporting,60
risk cases,60
covid19 kids,60
cases sooner,60
covid19 identify,60
social distancing,59
fresh covid19,59
symptoms daily,58
daily even,58
selfreporting symptoms,58
total tally,57
covid19 recovered,56
need plasma,56
covid19 india,56
total cases,54
district reports,54
test positive,52
covid19 test,52
indias covid19,52
covid19 global,52
india covid19,51
cases deaths,50
kids childern,50
tally crosses,50
24 hrs,49
covid19 lockdown,49
covid19 protests,48
covid19 outbreak,47
covid19 case,47
covid19 amp,47
deaths last,47
coronavirus vaccine,46
cases india,46
new zealand,46
novel coronavirus,45
post covid19,45
cases state,44
face mask,44
public health,44
negative covid19,44
corona covid19,44
covid19 response,44
wearing mask,43
full video,42
fatality rate,41
covid19 death,41
covid19 preprint,41
face masks,40
around world,40
hospital call,40
worldwide storm,39
new coronavirus,39
deaths india,39
video gt,39
storm full,39
recovered patient,39
gt 30days30videos,39
first covid19,38
county covid19,38
response covid19,38
confirmed cases,38
india reports,37
first time,37
covid 19,37
get covid19,37
pima arizona,36
chief minister,36
new york,36
mental health,36
pima county,36
madhya pradesh,36
biden harris,36
covid19 pima,36
covid19 update,36
pandemic covid19,36
total positive,35
good news,35
amp deaths,35
hours covid19,35
recovered covid19,35
white house,35
covid19 via,34
226 deaths,34
positive coronavirus,34
covid covid19,34
covid19 infection,34
covid19 226,34
take look,33
covid19 uk,33
reported state,33
