from,to,weight
0,21,803
1,2,573
2,7,510
3,0,506
4,0,479
0,2,353
5,20,343
6,5,329
7,3,328
8,21,275
9,0,259
0,8,253
8,0,235
0,3,219
0,94,217
10,17,209
11,9,204
4,21,199
12,1059,191
13,12,191
13,39,181
14,0,170
15,0,137
0,25,132
16,37,129
17,21,127
18,142,123
0,0,119
3,21,118
19,8,118
0,56,115
0,337,109
20,10,107
21,83,107
21,39,105
22,8,104
23,21,103
16,1060,103
0,13,103
0,800,97
21,6,94
24,264,93
25,3,93
21,0,90
26,194,88
27,19,88
28,6,87
29,0,82
17,0,81
0,275,80
30,10,76
0,22,75
3,38,74
31,0,73
32,10,73
33,234,72
34,15,71
35,147,71
3,2,70
36,189,67
37,3,66
10,0,66
38,81,64
39,28,63
40,0,62
41,34,61
42,155,61
43,45,60
44,50,60
45,21,60
0,55,60
21,44,60
0,43,60
46,1056,59
47,0,59
48,49,58
49,444,58
50,48,58
10,56,57
0,70,56
51,169,56
0,28,56
10,21,54
52,260,54
53,8,52
0,53,52
54,0,52
0,1,52
28,0,51
21,13,50
55,1061,50
56,267,50
5,1062,49
0,201,49
0,368,48
0,346,47
0,130,47
0,83,47
13,6,47
3,94,46
21,28,46
4,886,46
57,3,45
58,0,45
21,191,44
59,189,44
60,101,44
61,0,44
62,0,44
0,74,44
63,189,43
64,68,42
65,264,41
0,18,41
0,1063,41
59,256,40
66,141,40
67,741,40
12,69,39
4,3,39
13,28,39
68,71,39
69,64,39
70,1064,39
71,118,39
72,0,38
73,0,38
74,0,38
75,21,38
28,260,37
72,105,37
25,670,37
76,0,37
77,1065,36
78,366,36
4,1066,36
79,101,36
77,73,36
80,216,36
81,197,36
0,77,36
0,278,36
2,0,36
10,8,35
82,7,35
83,13,35
20,0,35
70,0,35
84,1067,35
0,160,34
85,13,34
8,3,34
25,0,34
0,803,34
0,85,34
86,190,33
0,167,33
39,191,33
4,945,32
56,500,32
4,13,32
0,1068,32
0,109,32
87,172,31
88,0,31
89,616,31
21,5,31
0,1069,31
90,143,31
28,612,31
19,0,31
0,24,30
36,256,30
21,156,30
91,0,30
3,346,29
92,38,29
93,26,29
94,0,29
0,837,29
21,30,29
95,139,29
81,2,29
96,13,28
0,96,28
0,15,28
97,260,28
0,27,28
98,143,28
13,0,28
22,61,28
99,216,27
0,102,27
30,0,27
100,88,27
101,366,27
102,13,27
103,394,26
6,158,26
0,107,26
104,216,26
105,0,26
106,3,26
63,256,26
25,21,26
107,13,26
108,12,26
51,135,25
1,0,25
109,4,25
4,183,25
21,3,25
110,0,25
38,210,25
111,0,25
0,650,25
112,240,25
113,366,25
114,305,25
101,315,24
115,264,24
3,33,24
116,0,24
117,1070,24
7,0,24
118,1071,24
3,13,24
119,268,24
0,4,24
120,13,23
121,0,23
22,0,23
56,433,23
111,438,23
122,1072,23
39,97,23
0,120,23
21,181,23
123,563,23
49,3,23
0,225,23
0,127,22
30,32,22
124,308,22
39,6,22
125,808,22
126,6,22
127,13,22
128,180,22
129,151,22
130,56,22
131,234,22
132,109,22
133,149,22
134,0,22
0,126,22
135,178,21
13,5,21
136,155,21
3,503,21
137,147,21
6,1073,21
51,203,21
0,484,21
138,270,21
47,21,21
139,0,21
36,59,21
140,0,21
141,0,21
101,231,21
142,500,21
143,9,21
22,371,21
101,83,21
144,1074,21
28,267,20
30,417,20
145,0,20
0,121,20
21,1075,20
146,433,20
147,3,20
0,313,20
0,503,20
130,65,20
148,488,20
149,978,20
129,113,20
0,40,20
150,1076,20
151,0,20
152,4,20
45,0,20
0,48,20
153,0,19
154,11,19
53,0,19
155,194,19
156,0,19
140,1077,19
46,266,19
157,624,19
158,0,19
3,1,19
159,769,19
70,21,19
160,0,19
161,244,19
0,112,19
49,0,19
162,0,19
163,1078,19
0,1079,19
164,0,19
165,154,19
166,264,19
0,492,19
109,3,19
167,629,19
135,736,19
168,0,19
169,173,19
170,0,18
0,431,18
171,278,18
172,128,18
173,0,18
106,508,18
0,16,18
174,1080,18
0,171,18
175,13,18
176,603,18
177,103,18
178,51,18
179,95,18
19,61,18
180,179,18
181,1081,18
0,141,18
0,212,18
182,176,18
183,39,18
184,13,18
106,0,17
185,21,17
186,0,17
83,0,17
187,0,17
143,0,17
188,1082,17
189,0,17
181,199,17
0,38,17
190,116,17
13,83,17
20,32,17
191,30,17
192,466,17
0,205,17
193,153,17
2,4,17
194,0,17
195,13,17
196,116,17
3,443,17
197,38,17
0,49,17
198,13,17
1,21,17
0,443,17
199,233,17
101,636,17
200,0,17
0,326,17
21,32,16
106,4,16
183,83,16
201,0,16
91,143,16
101,1083,16
202,876,16
203,0,16
204,83,16
205,0,16
206,732,16
207,0,16
208,366,16
209,9,16
210,299,16
211,1084,16
103,262,16
0,232,16
143,19,16
101,0,16
155,0,16
21,133,16
212,0,16
213,0,16
1,1085,16
130,1086,16
4,109,16
86,315,15
181,155,15
214,201,15
167,13,15
215,33,15
216,268,15
0,883,15
217,13,15
218,13,15
219,0,15
220,300,15
221,13,15
222,0,15
223,0,15
0,273,15
143,116,15
0,90,15
224,11,15
165,224,15
63,59,15
0,1087,15
225,0,15
29,3,15
28,1088,15
113,0,15
226,0,15
227,641,14
75,0,14
0,1089,14
228,257,14
229,155,14
3,234,14
3,1090,14
3,275,14
190,158,14
185,666,14
230,1091,14
0,234,14
3,526,14
0,396,14
0,892,14
0,290,14
231,220,14
232,750,14
233,39,14
21,155,14
21,185,14
234,0,14
158,235,14
235,714,14
236,1058,14
194,577,14
59,1092,14
146,141,14
237,0,14
238,0,14
137,391,14
215,290,14
239,72,14
10,13,14
12,0,14
240,111,14
240,13,14
241,1093,13
242,0,13
17,8,13
38,0,13
243,0,13
48,0,13
0,1094,13
0,1035,13
244,847,13
21,217,13
21,195,13
245,0,13
4,304,13
246,0,13
38,1095,13
247,272,13
248,0,13
249,1096,13
194,152,13
250,13,13
251,13,13
0,110,13
3,22,13
147,0,13
252,8,13
101,1097,13
253,1098,13
254,1099,13
2,1100,13
0,1064,13
206,426,13
255,51,13
256,0,13
257,0,13
258,15,13
259,18,13
260,93,13
0,6,13
261,0,13
262,0,13
39,273,13
59,1101,13
263,1102,13
264,246,13
265,260,13
266,296,13
267,317,13
268,182,13
165,271,13
269,0,13
270,0,13
111,21,13
271,11,13
0,485,13
272,1103,13
83,175,12
29,201,12
2,1,12
273,1104,12
274,0,12
143,162,12
72,3,12
275,8,12
276,848,12
274,1105,12
0,674,12
143,134,12
0,322,12
19,884,12
277,3,12
165,280,12
0,51,12
278,0,12
4,1106,12
279,287,12
280,11,12
1,1107,12
234,57,12
281,291,12
0,235,12
234,3,12
282,0,12
167,3,12
23,0,12
283,0,12
284,119,12
14,1108,12
285,498,12
286,35,12
0,425,12
160,3,12
287,86,12
288,113,12
0,315,12
275,1109,12
289,1110,12
191,500,12
290,569,12
291,523,12
292,0,12
21,16,12
49,17,12
54,3,12
3,278,12
293,281,12
49,234,12
8,130,12
21,18,12
16,131,12
294,244,12
3,16,12
194,332,12
153,894,12
18,39,12
295,0,12
18,264,12
296,252,12
297,440,12
216,78,12
298,415,12
21,114,12
299,527,12
35,388,12
169,401,12
39,265,12
39,555,12
300,279,12
301,7,12
302,452,12
303,293,12
304,1111,12
305,1112,12
306,487,12
307,0,12
308,257,11
309,327,11
310,216,11
311,0,11
312,341,11
313,0,11
314,314,11
315,0,11
316,366,11
72,433,11
202,1113,11
317,111,11
21,240,11
318,225,11
319,288,11
3,131,11
320,21,11
262,303,11
24,0,11
94,732,11
0,364,11
139,307,11
21,500,11
49,21,11
0,101,11
321,330,11
6,1114,11
322,167,11
21,1115,11
323,101,11
324,1116,11
325,203,11
326,116,11
76,367,11
327,7,11
328,0,11
0,203,11
3,800,11
51,41,11
167,406,11
329,51,11
167,0,11
0,237,11
330,186,11
331,0,11
332,21,11
116,83,11
0,521,11
22,155,11
333,1083,11
334,15,11
169,1117,11
335,5,11
0,659,11
41,0,11
336,306,11
186,312,11
337,70,11
338,45,11
19,1118,11
9,6,11
338,394,11
53,1119,11
67,135,11
