index,label,id
616,covid19,0
1144,global,1
1701,pandemic,2
499,coronavirus,3
1590,new,4
83,24,5
1406,last,6
1612,news,7
1798,positive,8
952,died,9
2284,total,10
202,americans,11
2473,worldwide,12
931,deaths,13
988,due,14
2098,spread,15
1863,read,16
1637,number,17
914,death,18
2211,tested,19
1278,hours,20
349,cases,21
2227,tests,22
162,active,23
1889,recovery,24
564,covid,25
2062,singleday,26
1990,samples,27
1315,india,28
204,amid,29
2262,today,30
1063,fight,31
2179,taking,32
1446,live,33
2065,slow,34
255,august,35
2436,wear,36
410,cdc,37
2306,trump,38
1916,reported,39
1295,impact,40
1225,help,41
2061,single,42
1287,identify,43
2074,sooner,44
1961,risk,45
2069,social,46
1107,fresh,47
2167,symptoms,48
876,daily,49
2032,selfreporting,50
1576,need,51
972,district,52
2204,test,53
1332,indias,54
1388,kids,55
2183,tally,56
1633,novel,57
1806,post,58
1043,face,59
1836,public,60
1579,negative,61
488,corona,62
2441,wearing,63
1111,full,64
1054,fatality,65
243,around,66
1265,hospital,67
2398,video,68
2138,storm,69
1880,recovered,70
1176,gt,71
1070,first,72
558,county,73
1939,response,74
471,confirmed,75
1124,get,76
1752,pima,77
426,chief,78
1526,mental,79
1479,madhya,80
288,biden,81
1159,good,82
223,amp,83
2453,white,84
74,226,85
2174,take,86
306,boris,87
1079,fitness,88
2339,united,89
1498,many,90
1534,million,91
979,donald,92
1241,highest,93
2375,vaccine,94
2025,secondpeak,95
73,225,96
1660,odisha,97
2491,young,98
233,andhra,99
2390,vegan,100
1206,health,101
69,221,102
271,back,103
1245,himachal,104
2251,time,105
182,alert,106
70,223,107
1261,hope,108
1909,report,109
169,affected,110
1399,lakh,111
2274,top,112
1254,home,113
1366,johns,114
1804,positivity,115
1437,like,116
1475,loved,117
99,30days30videos,118
1380,karnataka,119
77,229,120
2297,treatment,121
2189,tamil,122
1773,pm,123
983,dr,124
2080,south,125
2360,updatesindia,126
71,224,127
977,dominic,128
2126,stay,129
335,case,130
1424,latest,131
2266,todays,132
1483,maharashtra,133
949,die,134
302,blood,135
1023,every,136
1370,july,137
2024,second,138
2027,secondwave,139
2054,since,140
2468,world,141
2272,toll,142
1723,people,143
2158,supreme,144
1662,odishas,145
156,across,146
