term,count
global pandemic news,510
pandemic news coronavirus,320
last 24 hours,302
new covid19 cases,287
news coronavirus covid19,212
americans died covid19,200
deaths worldwide abo,191
covid19 positive cases,174
new covid19 positive,123
total number cases,119
24 hours total,106
covid19 covid coronavirus,90
tested positive covid19,90
cases last 24,87
india last 24,87
tests positive covid19,78
covid coronavirus trump,73
slow spread covid19,67
read cdc coronavirus,66
help slow spread,61
risk cases sooner,60
identify risk cases,60
covid19 identify risk,60
spread covid19 identify,60
cases sooner selfreporting,60
coronavirus trump biden,60
sooner selfreporting symptoms,58
selfreporting symptoms daily,58
symptoms daily even,58
reported india last,56
deaths reported india,56
covid19 cases last,55
fresh covid19 cases,52
covid19 kids childern,50
coronavirus covid19 protests,46
today total number,45
deaths last 24,44
positive cases amp,44
total number covid19,44
covid19 cases reported,43
full video gt,39
covid19 recovered patient,39
cdc coronavirus covid19,39
covid19 cases amp,39
test positive covid19,39
storm full video,39
worldwide storm full,39
video gt 30days30videos,39
number covid19 cases,37
taking total number,37
pima county covid19,36
covid19 pima arizona,36
24 hours covid19,35
226 deaths worldwide,34
covid19 226 deaths,34
died covid19 226,34
positive cases reported,34
hours total tally,32
hours total number,32
total covid19 cases,31
total covid19 positive,31
deaths india last,31
amp deaths reported,30
covid19 global pandemic,30
covid19 cases india,30
trump biden pandemic,29
fitness covid19 goals,29
total positive cases,29
first covid19 vaccine,29
new covid19 preprint,29
died covid19 225,28
covid19 225 deaths,28
225 deaths worldwide,28
number cases state,28
221 deaths worldwide,27
died covid19 221,27
covid19 221 deaths,27
vegan fitness covid19,26
died covid19 223,26
223 deaths worldwide,26
hours covid19 tally,26
hope worldwide storm,26
covid19 223 deaths,26
tests negative covid19,25
gt 30days30videos messagetochristians,24
new coronavirus cases,24
229 deaths worldwide,23
covid19 229 deaths,23
died covid19 229,23
hours total covid19,23
updatesindia last updated,22
covid19 updatesindia last,22
224 deaths worldwide,22
report new cases,22
died covid19 224,22
todays report new,22
covid19 tally country,22
new cases covid19,22
covid19 224 deaths,22
positive cases today,21
highest singleday spike,21
covid19 samples tested,20
covid19 cases per,19
watch 179200 americans,19
coronavirus covid19 mers,19
need plasma ove,19
daily coronavirus covid19,19
need blood type,19
179200 americans died,19
single day spike,19
tests positive coronavirus,19
indias covid19 tally,19
positive cases last,19
secondpeak secondwave covid19,18
dominic cummings carehomeicide,18
coronavirus covid19 report,18
blood component need,18
johnson dominic cummings,18
covid19 case tally,18
carehomeicide secondpeak secondwave,18
today taking total,18
boris johnson dominic,18
cases 24 hrs,18
shivraj singh chouhan,18
covid19 tally rises,18
deaths reported state,18
case fatality rate,18
positive cases deaths,18
case tally crosses,18
plasma ove covid19,18
cummings carehomeicide secondpeak,18
covid19 top 10,18
covid19 report coronavirus,18
covid19 ghana update,18
number covid19 samples,17
reported state today,17
biden harris trump,17
cases per 100000,17
cases today total,17
per 100000 residents,17
component need plasma,17
covid19 recovery rate,17
covid19 tally crosses,17
death toll rises,17
24 hours taking,17
covid19 death toll,16
amid covid19 pandemic,16
harris trump gop,16
brother died covid19,15
172606 americans died,15
78761 new cases,15
watch 172606 americans,15
coronavirus covid19 uk,15
ove covid19 recovered,15
trump biden harris,15
trump gop republican,15
madhya pradesh cm,15
lakh covid19 tests,14
deaths 24 hrs,14
million covid19 tests,14
100000 residents reported,14
coronavirus global pandemic,14
cases taking total,14
ministry civil aviation,14
look updated guidelines,14
updated guidelines air,14
new cases 24,14
total cases rise,14
tested negative covid19,14
cases local cases,14
take look updated,14
due covid19 pandemic,14
positive cases covid19,14
india covid19 tally,13
cases 941 deaths,13
nyc psychotherapy blog,13
186855 americans died,13
spike covid19 cases,13
today total cases,13
2020 coronavirus covid19,13
global pandemic ne,13
aug22 need plasma,13
rise covid19 cases,13
covid19 cases including,13
total number positive,13
last 24 hrs,13
watch 186855 americans,13
cm shivraj singh,13
cases johns hopkins,12
daily number covid19,12
global pandemic new,12
taking total tally,12
covid19 covid19 covid19,12
3rd line dist,12
coronavirus covid19 covid19,12
need plasma ave,12
novel coronavirus infections,12
travellers take look,12
former karnataka cm,12
gop republican democrat,12
updated covid19 preprint,12
170415 americans died,12
updates novel coronavirus,12
morning coronavirus coronaviruspandemic,12
cases state rises,12
daily updates novel,12
watch 170415 americans,12
media bulletin status,12
johns hopkins csse,12
cases covid19 telangana,12
941 deaths reported,12
amp 705 deaths,12
covid19 cases deaths,12
bulletin status positive,12
pradesh chief minister,12
bhadraknergundi 3rd line,12
reported last 24,12
aviation attention travellers,12
covid19 cases 24,12
covid19 telangana dated,12
civil aviation attention,12
cases 944 deaths,12
connection bhadraknergundi 3rd,12
discharges amp deaths,12
deaths reported rajasthan,12
cases amp 705,12
covid19 cases taking,12
spike 78761 new,12
active covid19 cases,12
state today till,12
status positive cases,12
attention travellers take,12
madhya pradesh chief,11
confirmed covid19 cases,11
check hyderabad times,11
died last 24,11
number covid19 associated,11
covid19 tests conducted,11
covid19 testing facilities,11
epaper head etimes,11
odishas covid19 case,11
tests covid19 positive,11
pandemic global pandemic,11
health hazard borisvoteofnoconfidence,11
deaths reported odisha,11
head etimes movie,11
hazard borisvoteofnoconfidence borishasfaileduk,11
statistics worldwide covid19,11
covid19 covid19 coronavirus,11
tally crosses 35,11
times epaper head,11
secondpeak secondwave coronavirusuk,11
today covid19 cases,11
todays statistics worldwide,11
follow please retweet,11
uk daily number,11
warning health hazard,11
work connection bhadraknergundi,11
covid19 positive case,11
etimes movie news,11
secondwave coronavirusuk covid19,11
hospital blood component,11
associated uk deaths,11
black lives matter,11
cases maharashtra police,11
cases amp deaths,11
covid19 associated uk,11
cases 24 hours,11
pradesh cm shivraj,11
borisvoteofnoconfidence borishasfaileduk secondpeak,11
borishasfaileduk secondpeak secondwave,11
samples tested yesterday,11
hyderabad times epaper,11
covid19 uk daily,11
bignews india reports,11
recovery rate among,11
aug16 need plasma,11
samples tested yester,11
million covid19 cases,11
covid19 covid19 kids,10
global covid19 cases,10
get well soon,10
doom days covid19,10
hours taking total,10
first coronavirus vaccine,10
like amp retweet,10
covid19 230 deaths,10
latest updates andhra,10
days covid19 troubles,10
coronavirus latest updates,10
positive covid19 covid19,10
crosses 35 lakh,10
deaths reported puducherry,10
song produced meditate,10
amid covid19 outbreak,10
singleday spike 64399,10
among covid19 patients,10
amp 654 deaths,10
amp 803 deaths,10
deaths reported telangana,10
andhra pradesh telangana,10
ave covid19 recovered,10
rate among covid19,10
protests global pandemic,10
covid19 troubles song,10
produced meditate solutions,10
9845684754 starhealthinsurance insurance,10
944 deaths reported,10
803 deaths india,10
uk coronavirus covid19,10
worlds first covid19,10
100 days without,10
watch 173128 americans,10
deaths amp highest,10
updates andhra pradesh,10
173128 americans died,10
troubles song produced,10
708 deaths amp,10
230 deaths worldwide,10
35 lakh mark,10
tests conducted single,10
test covid19 positive,10
curb spread covid19,10
taking total positive,10
pradesh telangana india,10
cases amp 654,10
died covid19 230,10
cases death toll,10
past 24 hours,10
conducted single day,10
new cases coronavirus,10
plasma ave covid19,10
covid19 tests day,10
cases deaths reported,10
need plasma bve,10
movementpass help return,10
number positive cases,10
cases amp 803,10
via coronavirus covid19,9
covid19 patients increased,9
7days growth rate,9
number cases stands,9
nritya gopal das,9
705 deaths india,9
newspaper routine even,9
new strain coronavirus,9
tested covid19 positive,9
10 developments india,9
testing positive covid19,9
ghana update avoid,9
morning newspaper routine,9
57982 cases 941,9
tests last 24,9
minister amit shah,9
top 10 developments,9
even amid lockdown,9
mark spike 78761,9
coronavirus read cdc,9
follow live updates,9
mark 708 deaths,9
