term,count
covid19,11158
cases,2242
coronavirus,2242
new,1472
pandemic,1351
amp,1216
deaths,1013
global,814
india,805
positive,758
people,756
news,751
alert,702
total,597
covid,532
trump,524
last,516
health,505
vaccine,468
24,449
reported,446
today,442
one,439
read,434
need,411
number,388
help,376
day,369
hours,369
get,362
died,353
tests,352
like,348
watch,346
world,344
first,336
lockdown,325
americans,324
mask,322
2020,320
due,317
state,316
tested,315
says,313
reports,313
death,312
uk,311
many,299
tally,298
time,291
via,282
test,276
worldwide,274
masks,266
spread,261
take,256
live,255
know,255
august,255
government,255
daily,253
patients,253
rate,248
back,244
testing,241
virus,240
odisha,238
the,235
may,231
work,227
million,224
still,223
hospital,223
would,222
even,219
spike,219
report,219
country,215
going,209
could,205
latest,205
children,205
cdc,203
home,201
see,200
school,198
abo,195
good,195
days,193
july,191
risk,191
care,187
crisis,185
kids,185
face,184
10,182
make,181
case,181
recovery,179
go,178
said,178
update,177
support,176
look,175
please,175
since,174
schools,171
amid,170
year,170
want,169
wear,168
every,167
taking,167
recovered,164
minister,163
toll,163
updates,162
police,162
public,159
data,158
way,155
also,155
including,152
social,152
months,152
life,152
safe,149
say,148
lakh,147
response,145
video,145
think,144
business,143
active,142
times,141
impact,141
week,140
around,140
well,139
symptoms,138
states,138
much,138
to,138
of,135
right,135
biden,135
two,134
lives,133
corona,133
china,133
plasma,133
dr,132
per,132
samples,132
working,131
hope,131
pm,131
fight,131
in,129
use,129
check,129
more,128
find,128
usa,128
students,127
must,126
family,125
protect,125
highest,125
top,125
govt,124
keep,123
russia,123
another,122
call,122
recoveries,121
across,120
great,120
got,119
indias,119
stay,119
free,119
maharashtra,117
countries,117
workers,117
outbreak,117
important,117
wearing,115
district,115
rise,115
next,114
really,114
chief,114
made,113
medical,112
better,111
everyone,110
quarantine,109
stop,109
fresh,109
th,108
karnataka,108
full,108
high,108
florida,107
open,107
bignews,107
rises,107
study,107
let,106
follow,105
protests,105
president,104
pradesh,104
and,104
media,103
healthcare,103
singleday,103
getting,103
plan,103
online,103
mark,102
cm,102
die,102
county,101
weeks,101
post,101
end,100
texas,100
infections,99
america,99
research,99
local,98
put,97
part,97
patient,97
safety,96
join,96
economy,96
delhi,95
without,95
staff,93
fauci,93
years,93
till,93
webinar,93
looking,92
todays,92
travel,92
enough,90
needs,90
treatment,90
hospitals,90
never,90
man,89
dead,89
best,89
confirmed,88
slow,88
negative,87
far,87
vaccines,87
experts,87
flu,86
crosses,86
yet,85
come,85
learn,85
doctors,84
blood,84
away,84
thanks,84
numbers,84
community,84
industry,84
food,84
long,83
identify,83
office,83
article,83
businesses,83
telangana,82
situation,82
increase,82
national,82
key,81
shows,81
100,81
three,81
economic,81
among,81
jobs,80
single,80
women,79
despite,79
morning,79
love,79
big,79
hit,79
updated,79
continue,79
real,78
team,78
past,78
record,78
american,78
ever,77
thank,77
things,77
infection,77
city,77
infected,77
return,76
already,76
breaking,75
anyone,75
gop,75
person,75
young,74
give,74
share,74
start,74
19,74
according,74
change,74
records,73
distancing,73
found,72
pima,72
used,72
sarscov2,72
available,72
rajasthan,72
set,72
job,72
education,72
second,71
guidelines,71
together,71
control,71
following,71
lost,71
nhs,70
college,70
normal,70
mumbai,70
head,70
disease,70
technology,70
restrictions,69
thing,69
england,69
likely,69
house,69
indian,69
sunday,69
saturday,69
yesterday,68
science,68
sooner,68
families,68
trials,68
biggest,68
system,68
close,68
nearly,68
challenges,67
13,67
protest,67
learning,67
12,66
less,66
future,66
sure,65
done,65
pay,65
services,65
hard,65
march,65
leaders,64
20,64
relief,64
effective,64
affected,64
digital,64
announced,64
might,64
become,63
show,63
scientists,63
companies,62
members,62
access,62
fall,62
heres,62
portland,62
using,62
survey,62
white,61
blog,61
yes,61
friday,61
for,61
14,61
ministry,61
different,61
coming,61
selfreporting,60
employees,60
series,60
making,60
air,60
link,60
results,60
others,60
contact,60
early,60
trust,59
an,59
bad,59
issues,59
tell,59
management,58
demand,58
novel,58
wearamask,58
feel,58
thought,57
director,57
information,57
count,57
something,57
on,57
almost,57
trying,57
increased,57
south,57
virtual,57
hydroxychloroquine,57
aug,56
growth,56
someone,56
population,56
story,56
reopen,56
happy,56
california,56
believe,56
action,56
took,55
sick,55
plans,55
phase,55
coronavirusupdates,55
wave,55
month,55
reopening,55
doctor,55
season,55
16,55
ai,55
dying,54
measures,54
group,54
critical,54
soon,54
understand,54
current,54
former,54
surge,54
conducted,53
worst,53
wants,53
johnson,53
everything,53
major,53
focus,53
seen,53
leader,53
nothing,53
money,53
gt,52
players,52
congress,52
insurance,52
hear,52
higher,52
place,52
hrs,52
questions,52
50,52
cause,52
helping,52
least,52
emergency,52
ensure,52
deal,52
related,52
recorded,52
ahead,52
fear,51
thousands,51
fatality,51
lot,51
immunity,51
hands,51
human,51
ways,51
15,51
taken,51
weekend,51
evidence,51
bill,51
living,51
sign,51
continues,51
childern,50
doesnt,50
result,50
low,50
woman,50
order,50
recent,50
black,50
unemployment,50
list,50
line,50
1000,50
small,50
caused,49
given,49
details,49
summer,49
market,49
private,49
modi,49
30,49
republicans,49
fire,49
international,49
save,49
parents,48
ganjam,48
officials,48
court,48
vote,48
changed,48
told,48
interesting,48
little,48
25,48
created,48
football,48
saying,48
visit,47
storm,47
hand,47
shut,47
aviation,47
tomorrow,47
actually,47
power,47
harris,47
university,47
supply,47
political,47
cost,47
21,47
half,47
talk,46
federal,46
mental,46
centre,46
teachers,46
thread,46
protesters,46
role,46
lead,46
truth,46
proud,46
zealand,46
claims,46
went,46
tweet,46
needed,46
company,46
co,45
aid,45
podcast,45
rules,45
within,45
arizona,45
child,45
coronaviruspandemic,45
clinical,45
wrong,45
policy,44
point,44
seems,44
issue,44
leadership,44
rs,44
trial,44
union,44
changes,44
monday,44
gone,44
always,44
rising,43
wont,43
try,43
with,43
true,43
from,43
fighting,43
26,43
push,43
putin,43
residents,43
comes,43
opportunity,43
remember,43
united,42
party,42
preprint,42
admitted,42
service,42
increasing,42
remain,42
wake,42
especially,42
this,42
five,42
god,42
ceo,42
treat,42
center,42
millions,42
started,42
listen,42
rates,42
brought,42
analysis,42
announces,41
election,41
deadly,41
whole,41
hyderabad,41
reach,41
40,41
killed,41
re,41
discuss,41
cure,41
avoid,41
republican,41
dies,41
friends,41
brazil,41
security,41
boris,41
remote,41
experience,40
covidー19,40
ji,40
facing,40
developed,40
view,40
brother,40
thursday,40
researchers,40
coronavirusoutbreak,40
fitness,40
law,40
provide,40
prevent,40
water,40
cross,40
immune,40
nyc,40
strategy,40
act,40
york,40
able,40
classes,39
left,39
democrats,39
closed,39
bihar,39
additional,39
west,39
meet,39
fact,39
wales,39
vs,39
facilities,39
11,39
vegan,39
catch,39
citizens,39
1st,39
expert,39
ca,39
june,39
30days30videos,39
innovation,39
gets,39
special,38
makes,38
stories,38
ago,38
means,38
ones,38
review,38
called,38
talks,38
finally,38
maybe,38
trumps,38
forced,38
tips,38
lack,38
is,38
communities,38
advice,38
customers,38
question,38
be,38
ill,38
level,38
calls,37
rest,37
wish,37
ask,37
anything,37
shares,37
ppe,37
old,37
reporting,37
korea,37
stand,37
third,37
attention,37
positivity,37
london,37
source,37
oh,36
authorities,36
22,36
course,36
challenge,36
near,36
problem,36
17,36
possible,36
potential,36
behind,36
war,36
complete,36
fund,36
sense,36
age,36
madhya,36
play,36
looks,36
huge,36
dear,36
address,36
concerns,36
department,36
class,36
cut,35
else,35
september,35
solutions,35
lockdowns,35
efforts,35
student,35
discharged,35
impacted,35
church,35
registered,35
daughter,35
matter,35
outside,35
homes,35
sir,35
asked,35
chinese,35
socialdistancing,35
russian,35
poor,35
pa,35
launched,35
viral,35
concerned,35
secondwave,35
worlds,35
financial,35
led,35
training,35
rapid,34
khurda,34
hoax,34
kill,34
answer,34
opening,34
lets,34
retweet,34
alone,34
essential,34
average,34
hotel,34
release,34
tuesday,34
failure,34
history,34
period,34
226,34
covid19india,34
officer,34
member,34
personnel,34
happen,34
twitter,34
clear,34
singh,33
isnt,33
drug,33
ready,33
six,33
governments,33
goals,33
lab,33
night,33
spreading,33
no,33
spain,33
app,33
trend,33
administration,33
along,33
leading,33
development,33
launch,33
brexit,33
heart,32
leave,32
hold,32
27,32
bank,32
georgia,32
persons,32
four,32
success,32
st,32
donald,32
strong,32
type,32
threat,32
frontline,32
events,32
event,32
guidance,32
battle,31
flight,31
goes,31
quick,31
british,31
healthy,31
recession,31
23,31
severe,31
managing,31
weekly,31
cancer,31
loss,31
ne,31
areas,31
sports,31
sector,31
personal,31
vulnerable,31
works,31
france,31
levels,31
60,31
incompetent,31
puducherry,31
andhra,31
light,31
date,31
nurses,31
kind,31
reality,31
passengers,31
strategies,30
false,30
civil,30
saw,30
based,30
decided,30
funding,30
added,30
words,30
playing,30
trumpvirus,30
cummings,30
na,30
released,30
kerala,30
sending,30
allow,30
discusses,30
governor,30
restaurants,30
move,30
running,30
effects,30
temple,30
track,30
finds,30
dangerous,30
arrested,30
several,30
sanitizer,30
official,30
you,30
came,30
campaign,30
store,30
giving,30
shop,30
waiting,30
icymi,30
risks,30
assam,29
loved,29
thinking,29
common,29
published,29
scotland,29
cities,29
50000,29
forward,29
expected,29
nursing,29
program,29
ha,29
send,29
sharing,29
bjp,29
hey,29
building,29
covid19uk,29
hell,29
held,29
225,29
body,29
large,29
significant,29
takes,29
handling,29
super,29
mandatory,29
allowed,29
secondpeak,29
general,29
sad,29
episode,29
showing,29
meeting,29
entire,29
instead,29
recently,29
europe,29
late,28
fatalities,28
mass,28
signs,28
100000,28
whether,28
streets,28
men,28
planning,28
price,28
idea,28
wait,28
hundreds,28
mlb,28
resources,28
returning,28
himachal,28
majority,28
victims,28
transmission,28
win,28
johns,28
31,28
run,28
miss,28
221,28
offer,28
talking,28
area,28
killing,28
amazing,28
35,28
domestic,28
guide,28
bring,28
knew,28
facebook,28
africa,27
excellent,27
worse,27
cyprus,27
wash,27
ram,27
responsible,27
ministers,27
rally,27
expect,27
drop,27
required,27
crore,27
reaches,27
anxiety,27
facility,27
society,27
develop,27
starting,27
stands,27
lies,27
18,27
hate,27
2nd,27
suffering,27
poll,27
front,27
opinion,27
fucking,27
flights,27
we,27
break,27
globally,27
unprecedented,27
223,27
beyond,27
game,27
claim,27
icu,27
music,26
shared,26
register,26
orders,26
mortality,26
80,26
recover,26
create,26
colleges,26
explore,26
antibodies,26
lie,26
buy,26
status,26
mean,26
groups,26
64553,26
currently,26
nation,26
that,26
by,26
everywhere,26
construction,26
wonder,26
guy,26
impacts,26
launches,26
australia,26
tech,26
tells,26
at,26
workplace,26
happening,26
during,26
cuttack,26
earlier,26
obesity,26
warns,26
fake,26
beat,26
229,26
north,26
revealed,26
mp,26
gave,26
couple,25
guess,25
reason,25
shah,25
mexico,25
developments,25
friend,25
message,25
rights,25
association,25
gives,25
covering,25
stupid,25
icmr,25
breakingnews,25
trends,25
putting,25
mentalhealth,25
drive,25
systems,25
hopkins,25
adults,25
90,25
are,25
build,25
lower,25
tops,25
billion,25
madhyapradesh,25
capital,25
sales,25
resilience,25
isolation,25
newzealand,25
covidiots,25
blm,25
de,25
chennai,25
struggling,25
bengal,25
longer,24
professor,24
districts,24
decision,24
manage,24
messagetochristians,24
simple,24
ove,24
dominic,24
bulletin,24
seriously,24
consider,24
paper,24
delivery,24
english,24
helps,24
mail,24
it,24
moderna,24
odishas,24
towards,24
ireland,24
failed,24
tamil,24
wow,24
illness,24
scared,24
approach,24
shot,24
fast,24
paid,24
500,24
democrat,24
bengaluru,24
april,24
forget,24
worth,24
29,24
network,24
component,24
awareness,24
fraud,24
discharges,24
spent,24
hcq,24
germany,24
retail,24
step,24
thoughts,24
nature,24
banks,23
prepared,23
benefits,23
markets,23
un,23
passed,23
welcome,23
activity,23
session,23
peoples,23
account,23
difference,23
production,23
coronavirusuk,23
reveals,23
youth,23
stage,23
touch,23
mayor,23
known,23
gov,23
gates,23
seeing,23
speech,23
stress,23
movie,23
3rd,23
nadu,23
insights,23
era,23
changing,23
exposed,23
though,23
as,23
jharkhand,23
kills,23
affect,23
experiences,23
force,23
chain,23
asking,23
partners,23
exactly,23
central,23
tax,23
exams,23
places,23
fda,23
began,23
feeling,23
pushing,23
78761,23
necessary,23
positives,23
224,23
keeping,23
bullshit,23
red,23
simply,23
importance,23
rich,22
hot,22
tv,22
combat,22
shown,22
pan,22
hi,22
48661,22
lying,22
ipl,22
your,22
holiday,22
charged,22
nice,22
tamilnadu,22
investment,22
vital,22
turned,22
facemasks,22
finance,22
steps,22
arent,22
ho,22
mind,22
figures,22
senior,22
claimed,22
prime,22
camp,22
updatesindia,22
ppl,22
longterm,22
peak,22
ghana,22
marketing,22
shopping,22
statistics,22
serious,22
politics,22
beds,22
id,22
missed,22
products,22
sent,22
senate,22
refuse,22
amit,22
cas,22
song,22
vijayawada,22
64399,22
lessons,22
problems,22
actions,22
short,22
have,22
funds,22
moving,22
supreme,22
happens,22
difficult,22
fun,22
supporting,22
wellbeing,22
1007,21
hr,21
however,21
note,21
practice,21
respect,21
individuals,21
ok,21
staysafe,21
either,21
info,21
girls,21
offers,21
therapy,21
environment,21
nations,21
fully,21
freedom,21
nine,21
ny,21
followed,21
finding,21
punjab,21
quickly,21
piece,21
father,21
49931,21
2021,21
eat,21
project,21
reducing,21
zero,21
press,21
pretty,21
word,21
herd,21
actor,21
helped,21
now,21
worked,21
probably,21
lakhs,21
worker,21
distance,21
yo,21
179200,21
tracing,21
kindly,21
teams,21
northern,21
airport,21
besafe,21
antigen,21
calling,21
riots,21
tonight,21
aka,21
click,21
mers,21
lord,21
rural,21
challenging,21
costs,21
massive,21
seven,21
outbreaks,21
conference,21
baby,21
misinformation,21
smart,21
out,21
blame,21
sees,21
organization,21
ban,21
ongoing,21
andhrapradesh,21
consumers,21
contacts,21
becomes,21
causing,21
beach,21
conspiracy,21
chance,21
solution,21
amount,20
protocols,20
trade,20
journey,20
trace,20
folks,20
mild,20
cope,20
closer,20
passes,20
siddaramaiah,20
town,20
ganesh,20
agree,20
la,20
canada,20
fever,20
cancelled,20
schedule,20
elderly,20
choice,20
warning,20
thinks,20
rtpcr,20
labs,20
various,20
disaster,20
overall,20
interview,20
suggests,20
strain,20
growing,20
fears,20
remains,20
watching,20
protection,20
name,20
etc,20
hour,20
prepare,20
uncertainty,20
stimulus,20
compared,20
letter,20
delay,20
bc,20
phone,20
leads,20
speaks,20
excess,20
wh,20
turn,19
al,19
sweden,19
48916,19
briefing,19
nobody,19
approved,19
das,19
employers,19
chicago,19
clean,19
prayers,19
road,19
energy,19
803,19
fine,19
reading,19
spending,19
britain,19
begin,19
standard,19
executive,19
worry,19
natural,19
plus,19
lose,19
protecting,19
they,19
gon,19
pr,19
jammu,19
jump,19
wo,19
organizations,19
plandemic,19
green,19
bs,19
fair,19
ur,19
task,19
stats,19
sets,19
side,19
terrible,19
unique,19
perfect,19
inc,19
wi,19
cent,19
driving,19
room,19
add,19
here,19
mother,19
institute,19
rather,19
bit,19
platform,19
concern,19
physical,19
hits,19
crossed,19
minutes,19
race,19
worried,19
final,19
model,19
learned,19
mr,19
he,19
944,19
airlines,19
28,19
often,19
download,19
later,19
uae,19
sorry,19
urgent,18
main,18
carehomeicide,18
contract,18
offering,18
scheme,18
volunteers,18
caught,18
workforce,18
vietnam,18
card,18
justice,18
rose,18
reduce,18
migrants,18
coronavirusindia,18
regarding,18
opportunities,18
easy,18
conversation,18
street,18
edition,18
imagine,18
inside,18
foundation,18
fl,18
drugs,18
affairs,18
inperson,18
safely,18
maintain,18
63489,18
epidemic,18
begins,18
detected,18
travellers,18
lowest,18
supporters,18
tracker,18
airline,18
nih,18
book,18
cms,18
rep,18
treating,18
